timestamp,repositorio,tratamento,repeticao,sucesso,tempo_resposta_ms,tamanho_resposta_bytes
2026-06-24T18:53:58.536274,django/django,GraphQL,9,True,740.7455999991726,209
2026-06-24T18:54:01.425389,django/django,GraphQL,1,True,627.0427999997992,209
2026-06-24T18:54:02.353870,nodejs/node,GraphQL,27,True,611.038600000029,835
2026-06-24T18:54:05.200414,django/django,GraphQL,12,True,618.0966000001717,209
2026-06-24T18:54:07.699825,pytorch/pytorch,GraphQL,15,True,629.9613999999565,1020
2026-06-24T18:54:12.406956,pytorch/pytorch,GraphQL,5,True,573.1264999994892,1020
2026-06-24T18:54:13.281392,vuejs/vue,GraphQL,19,True,555.7693000000654,990
2026-06-24T18:54:17.548354,torvalds/linux,GraphQL,26,True,511.8941000000632,176
2026-06-24T18:54:18.361618,angular/angular,GraphQL,14,True,629.4024999997418,925
2026-06-24T18:54:22.251352,torvalds/linux,GraphQL,24,True,506.469100000686,176
2026-06-24T18:54:24.745736,nodejs/node,GraphQL,29,True,698.7221999997928,835
2026-06-24T18:54:27.241186,torvalds/linux,GraphQL,12,True,523.1849000001603,176
2026-06-24T18:54:29.742412,pytorch/pytorch,GraphQL,8,True,543.1257999998707,1020
2026-06-24T18:54:30.588049,microsoft/vscode,GraphQL,7,True,596.7763000007835,766
2026-06-24T18:54:35.387959,facebook/react,GraphQL,13,True,664.1586000005191,801
2026-06-24T18:54:36.356009,facebook/react,GraphQL,17,True,719.5041000004494,801
2026-06-24T18:54:40.959504,django/django,GraphQL,21,True,664.0972000004695,209
2026-06-24T18:54:41.926812,angular/angular,GraphQL,5,True,621.040300000459,925
2026-06-24T18:54:46.015169,rails/rails,GraphQL,22,True,629.0957000001072,936
2026-06-24T18:54:48.419587,vuejs/vue,GraphQL,10,True,586.5727000000334,990
2026-06-24T18:54:49.310378,facebook/react,GraphQL,0,True,620.4070000003412,801
2026-06-24T18:54:52.434021,nodejs/node,GraphQL,15,True,650.2580000005764,835
2026-06-24T18:54:56.557205,torvalds/linux,GraphQL,11,True,556.9930999999997,176
2026-06-24T18:54:59.467241,facebook/react,GraphQL,1,True,593.365000000631,801
2026-06-24T18:55:00.362932,vuejs/vue,GraphQL,12,True,575.026199999229,990
2026-06-24T18:55:04.712908,angular/angular,GraphQL,23,True,627.7659000006679,925
2026-06-24T18:55:05.642264,tensorflow/tensorflow,GraphQL,18,True,635.5526999996073,1006
2026-06-24T18:55:08.271471,facebook/react,GraphQL,28,True,568.8196000000971,801
2026-06-24T18:55:11.517590,nodejs/node,GraphQL,1,True,567.2464999997828,835
2026-06-24T18:55:13.993556,rails/rails,GraphQL,13,True,528.4156999996412,936
2026-06-24T18:55:17.907864,tensorflow/tensorflow,GraphQL,23,True,616.0963000002084,1006
2026-06-24T18:55:18.825493,nodejs/node,GraphQL,14,True,737.9210999997667,835
2026-06-24T18:55:21.398846,rails/rails,GraphQL,20,True,516.6544000003341,936
2026-06-24T18:55:25.519167,microsoft/vscode,GraphQL,0,True,839.5625000002838,766
2026-06-24T18:55:26.660288,microsoft/vscode,GraphQL,29,True,657.452700000249,766
2026-06-24T18:55:30.874221,nodejs/node,GraphQL,10,True,608.2741000000169,835
2026-06-24T18:55:31.783502,nodejs/node,GraphQL,24,True,563.4417999999641,835
2026-06-24T18:55:35.926444,microsoft/vscode,GraphQL,23,True,638.9797000001636,766
2026-06-24T18:55:38.401277,django/django,GraphQL,8,True,498.80949999987934,209
