tratamento,metrica,n,media,mediana,desvio_padrao,min,max,q1,q3
REST,Tempo de Resposta (ms),276,1382.9773605072637,1365.7188500001212,159.49580263256655,1011.6256999999678,1821.148400000311,1274.3600250000782,1469.3147000004956
REST,Tamanho da Resposta (bytes),276,29370.507246376812,25854.0,12394.71751131916,5081.0,54797.0,24362.5,36706.0
GraphQL,Tempo de Resposta (ms),295,636.9864532203484,634.7961000001305,80.21278276781172,483.5333999999421,867.9371999996874,570.0070999996569,691.2377500002549
GraphQL,Tamanho da Resposta (bytes),295,764.7694915254237,925.0,300.91818856447384,176.0,1020.0,766.0,990.0
